system:time_start,ET,GEE Code Link: https://code.earthengine.google.com/ec61cb7f1f9d6c5d1df7543a4afe6d32
10-Oct-15,0.048,
10-Oct-15,0.048,
10-Oct-15,0.048,
10-Oct-15,0.041,
10-Oct-15,0.041,
10-Oct-15,0.041,
10-Oct-15,0.027,
10-Oct-15,0.027,
10-Oct-15,0.027,
10-Oct-15,0.018,
10-Oct-15,0.018,
10-Oct-15,0.018,
10-Oct-15,0.303,
10-Oct-15,0.303,
10-Oct-15,0.303,
10-Oct-15,0.527,
10-Oct-15,0.527,
10-Oct-15,0.527,
10-Oct-15,0.36,
10-Oct-15,0.36,
10-Oct-15,0.36,
10-Oct-15,0.024,
10-Oct-15,0.024,
11-Oct-15,0.024,
11-Oct-15,0,
11-Oct-15,0,
11-Oct-15,0,
11-Oct-15,-0.005,
11-Oct-15,-0.005,
11-Oct-15,-0.005,
11-Oct-15,-0.011,
11-Oct-15,-0.011,
11-Oct-15,-0.011,
11-Oct-15,-0.004,
11-Oct-15,-0.004,
11-Oct-15,-0.004,
11-Oct-15,0.248,
11-Oct-15,0.248,
11-Oct-15,0.248,
11-Oct-15,0.525,
11-Oct-15,0.525,
11-Oct-15,0.525,
11-Oct-15,0.431,
11-Oct-15,0.431,
11-Oct-15,0.431,
11-Oct-15,0.042,
11-Oct-15,0.042,
12-Oct-15,0.042,
12-Oct-15,-0.005,
12-Oct-15,-0.005,
12-Oct-15,-0.005,
12-Oct-15,-0.015,
12-Oct-15,-0.015,
12-Oct-15,-0.015,
12-Oct-15,-0.02,
12-Oct-15,-0.02,
12-Oct-15,-0.02,
12-Oct-15,-0.013,
12-Oct-15,-0.013,
12-Oct-15,-0.013,
12-Oct-15,0.249,
12-Oct-15,0.249,
12-Oct-15,0.249,
12-Oct-15,0.54,
12-Oct-15,0.54,
12-Oct-15,0.54,
12-Oct-15,0.42,
12-Oct-15,0.42,
12-Oct-15,0.42,
12-Oct-15,0.02,
12-Oct-15,0.02,
13-Oct-15,0.02,
13-Oct-15,-0.011,
13-Oct-15,-0.011,
13-Oct-15,-0.011,
13-Oct-15,-0.017,
13-Oct-15,-0.017,
13-Oct-15,-0.017,
13-Oct-15,-0.011,
13-Oct-15,-0.011,
13-Oct-15,-0.011,
13-Oct-15,-0.004,
13-Oct-15,-0.004,
13-Oct-15,-0.004,
13-Oct-15,0.078,
13-Oct-15,0.078,
13-Oct-15,0.078,
13-Oct-15,0.256,
13-Oct-15,0.256,
13-Oct-15,0.256,
13-Oct-15,0.348,
13-Oct-15,0.348,
13-Oct-15,0.348,
13-Oct-15,0.03,
13-Oct-15,0.03,
14-Oct-15,0.03,
14-Oct-15,-0.008,
14-Oct-15,-0.008,
14-Oct-15,-0.008,
14-Oct-15,-0.006,
14-Oct-15,-0.006,
14-Oct-15,-0.006,
14-Oct-15,-0.004,
14-Oct-15,-0.004,
14-Oct-15,-0.004,
14-Oct-15,0.003,
14-Oct-15,0.003,
14-Oct-15,0.003,
14-Oct-15,0.278,
14-Oct-15,0.278,
14-Oct-15,0.278,
14-Oct-15,0.518,
14-Oct-15,0.518,
14-Oct-15,0.518,
14-Oct-15,0.398,
14-Oct-15,0.398,
14-Oct-15,0.398,
14-Oct-15,0.112,
14-Oct-15,0.112,
15-Oct-15,0.112,
15-Oct-15,0.056,
15-Oct-15,0.056,
15-Oct-15,0.056,
15-Oct-15,0.015,
15-Oct-15,0.015,
15-Oct-15,0.015,
15-Oct-15,0.005,
15-Oct-15,0.005,
15-Oct-15,0.005,
15-Oct-15,-0.001,
15-Oct-15,-0.001,
15-Oct-15,-0.001,
15-Oct-15,0.259,
15-Oct-15,0.259,
15-Oct-15,0.259,
15-Oct-15,0.505,
15-Oct-15,0.505,
15-Oct-15,0.505,
15-Oct-15,0.408,
15-Oct-15,0.408,
15-Oct-15,0.408,
15-Oct-15,0.035,
15-Oct-15,0.035,
16-Oct-15,0.035,
16-Oct-15,0.008,
16-Oct-15,0.008,
16-Oct-15,0.008,
16-Oct-15,-0.006,
16-Oct-15,-0.006,
16-Oct-15,-0.006,
16-Oct-15,-0.004,
16-Oct-15,-0.004,
16-Oct-15,-0.004,
16-Oct-15,0.031,
16-Oct-15,0.031,
16-Oct-15,0.031,
16-Oct-15,0.16,
16-Oct-15,0.16,
16-Oct-15,0.16,
16-Oct-15,0.484,
16-Oct-15,0.484,
16-Oct-15,0.484,
16-Oct-15,0.398,
16-Oct-15,0.398,
16-Oct-15,0.398,
16-Oct-15,0.028,
16-Oct-15,0.028,
17-Oct-15,0.028,
17-Oct-15,0.005,
17-Oct-15,0.005,
17-Oct-15,0.005,
17-Oct-15,-0.004,
17-Oct-15,-0.004,
17-Oct-15,-0.004,
17-Oct-15,0,
17-Oct-15,0,
17-Oct-15,0,
17-Oct-15,0.031,
17-Oct-15,0.031,
17-Oct-15,0.031,
17-Oct-15,0.279,
17-Oct-15,0.279,
17-Oct-15,0.279,
17-Oct-15,0.475,
17-Oct-15,0.475,
17-Oct-15,0.475,
17-Oct-15,0.363,
17-Oct-15,0.363,
17-Oct-15,0.363,
17-Oct-15,0.14,
17-Oct-15,0.14,
18-Oct-15,0.14,
18-Oct-15,0.083,
18-Oct-15,0.083,
18-Oct-15,0.083,
18-Oct-15,0.05,
18-Oct-15,0.05,
18-Oct-15,0.05,
18-Oct-15,0.033,
18-Oct-15,0.033,
18-Oct-15,0.033,
18-Oct-15,0.039,
18-Oct-15,0.039,
18-Oct-15,0.039,
18-Oct-15,0.258,
18-Oct-15,0.258,
18-Oct-15,0.258,
18-Oct-15,0.391,
18-Oct-15,0.391,
18-Oct-15,0.391,
18-Oct-15,0.314,
18-Oct-15,0.314,
18-Oct-15,0.314,
18-Oct-15,0.099,
18-Oct-15,0.099,
19-Oct-15,0.099,
19-Oct-15,0.083,
19-Oct-15,0.083,
19-Oct-15,0.083,
19-Oct-15,0.034,
19-Oct-15,0.034,
19-Oct-15,0.034,
19-Oct-15,0.015,
19-Oct-15,0.015,
19-Oct-15,0.015,
19-Oct-15,0.016,
19-Oct-15,0.016,
19-Oct-15,0.016,
19-Oct-15,0.217,
19-Oct-15,0.217,
19-Oct-15,0.217,
19-Oct-15,0.403,
19-Oct-15,0.403,
19-Oct-15,0.403,
19-Oct-15,0.296,
19-Oct-15,0.296,
19-Oct-15,0.296,
19-Oct-15,0.032,
19-Oct-15,0.032,
20-Oct-15,0.032,
20-Oct-15,0.032,
20-Oct-15,0.032,
20-Oct-15,0.032,
20-Oct-15,0.076,
20-Oct-15,0.076,
20-Oct-15,0.076,
20-Oct-15,0.048,
20-Oct-15,0.048,
20-Oct-15,0.048,
20-Oct-15,0.027,
20-Oct-15,0.027,
20-Oct-15,0.027,
20-Oct-15,0.259,
20-Oct-15,0.259,
20-Oct-15,0.259,
20-Oct-15,0.422,
20-Oct-15,0.422,
20-Oct-15,0.422,
20-Oct-15,0.307,
20-Oct-15,0.307,
20-Oct-15,0.307,
20-Oct-15,0.043,
20-Oct-15,0.043,
21-Oct-15,0.043,
21-Oct-15,0.036,
21-Oct-15,0.036,
21-Oct-15,0.036,
21-Oct-15,0.022,
21-Oct-15,0.022,
21-Oct-15,0.022,
21-Oct-15,0.014,
21-Oct-15,0.014,
21-Oct-15,0.014,
21-Oct-15,0.014,
21-Oct-15,0.014,
21-Oct-15,0.014,
21-Oct-15,0.14,
21-Oct-15,0.14,
21-Oct-15,0.14,
21-Oct-15,0.264,
21-Oct-15,0.264,
21-Oct-15,0.264,
21-Oct-15,0.223,
21-Oct-15,0.223,
21-Oct-15,0.223,
21-Oct-15,0.019,
21-Oct-15,0.019,
22-Oct-15,0.019,
22-Oct-15,0.005,
22-Oct-15,0.005,
22-Oct-15,0.005,
22-Oct-15,-0.003,
22-Oct-15,-0.003,
22-Oct-15,-0.003,
22-Oct-15,-0.013,
22-Oct-15,-0.013,
22-Oct-15,-0.013,
22-Oct-15,-0.013,
22-Oct-15,-0.013,
22-Oct-15,-0.013,
22-Oct-15,0.158,
22-Oct-15,0.158,
22-Oct-15,0.158,
22-Oct-15,0.383,
22-Oct-15,0.383,
22-Oct-15,0.383,
22-Oct-15,0.384,
22-Oct-15,0.384,
22-Oct-15,0.384,
22-Oct-15,0.084,
22-Oct-15,0.084,
23-Oct-15,0.084,
23-Oct-15,0.047,
23-Oct-15,0.047,
23-Oct-15,0.047,
23-Oct-15,0.042,
23-Oct-15,0.042,
23-Oct-15,0.042,
23-Oct-15,0.022,
23-Oct-15,0.022,
23-Oct-15,0.022,
23-Oct-15,0.028,
23-Oct-15,0.028,
23-Oct-15,0.028,
23-Oct-15,0.294,
23-Oct-15,0.294,
23-Oct-15,0.294,
23-Oct-15,0.465,
23-Oct-15,0.465,
23-Oct-15,0.465,
23-Oct-15,0.361,
23-Oct-15,0.361,
23-Oct-15,0.361,
23-Oct-15,0.071,
23-Oct-15,0.071,
24-Oct-15,0.071,
24-Oct-15,0.03,
24-Oct-15,0.03,
24-Oct-15,0.03,
24-Oct-15,0.013,
24-Oct-15,0.013,
24-Oct-15,0.013,
24-Oct-15,-0.004,
24-Oct-15,-0.004,
24-Oct-15,-0.004,
24-Oct-15,-0.007,
24-Oct-15,-0.007,
24-Oct-15,-0.007,
24-Oct-15,0.187,
24-Oct-15,0.187,
24-Oct-15,0.187,
24-Oct-15,0.341,
24-Oct-15,0.341,
24-Oct-15,0.341,
24-Oct-15,0.246,
24-Oct-15,0.246,
24-Oct-15,0.246,
24-Oct-15,0.018,
24-Oct-15,0.018,
25-Oct-15,0.018,
25-Oct-15,-0.005,
25-Oct-15,-0.005,
25-Oct-15,-0.005,
25-Oct-15,-0.007,
25-Oct-15,-0.007,
25-Oct-15,-0.007,
25-Oct-15,-0.003,
25-Oct-15,-0.003,
25-Oct-15,-0.003,
25-Oct-15,0.01,
25-Oct-15,0.01,
25-Oct-15,0.01,
25-Oct-15,0.068,
25-Oct-15,0.068,
25-Oct-15,0.068,
25-Oct-15,0.145,
25-Oct-15,0.145,
25-Oct-15,0.145,
25-Oct-15,0.207,
25-Oct-15,0.207,
25-Oct-15,0.207,
25-Oct-15,0.021,
25-Oct-15,0.021,
26-Oct-15,0.021,
26-Oct-15,0.041,
26-Oct-15,0.041,
26-Oct-15,0.041,
26-Oct-15,0,
26-Oct-15,0,
26-Oct-15,0,
26-Oct-15,-0.001,
26-Oct-15,-0.001,
26-Oct-15,-0.001,
26-Oct-15,0.001,
26-Oct-15,0.001,
26-Oct-15,0.001,
26-Oct-15,0.216,
26-Oct-15,0.216,
26-Oct-15,0.216,
26-Oct-15,0.42,
26-Oct-15,0.42,
26-Oct-15,0.42,
26-Oct-15,0.303,
26-Oct-15,0.303,
26-Oct-15,0.303,
26-Oct-15,0.01,
26-Oct-15,0.01,
27-Oct-15,0.01,
27-Oct-15,0.001,
27-Oct-15,0.001,
27-Oct-15,0.001,
27-Oct-15,-0.006,
27-Oct-15,-0.006,
27-Oct-15,-0.006,
27-Oct-15,-0.01,
27-Oct-15,-0.01,
27-Oct-15,-0.01,
27-Oct-15,-0.01,
27-Oct-15,-0.01,
27-Oct-15,-0.01,
27-Oct-15,0.173,
27-Oct-15,0.173,
27-Oct-15,0.173,
27-Oct-15,0.346,
27-Oct-15,0.346,
27-Oct-15,0.346,
27-Oct-15,0.24,
27-Oct-15,0.24,
27-Oct-15,0.24,
27-Oct-15,0.009,
27-Oct-15,0.009,
28-Oct-15,0.009,
28-Oct-15,-0.005,
28-Oct-15,-0.005,
28-Oct-15,-0.005,
28-Oct-15,-0.011,
28-Oct-15,-0.011,
28-Oct-15,-0.011,
28-Oct-15,-0.014,
28-Oct-15,-0.014,
28-Oct-15,-0.014,
28-Oct-15,-0.006,
28-Oct-15,-0.006,
28-Oct-15,-0.006,
28-Oct-15,0.112,
28-Oct-15,0.112,
28-Oct-15,0.112,
28-Oct-15,0.136,
28-Oct-15,0.136,
28-Oct-15,0.136,
28-Oct-15,0.075,
28-Oct-15,0.075,
28-Oct-15,0.075,
28-Oct-15,0.001,
28-Oct-15,0.001,
29-Oct-15,0.001,
29-Oct-15,0.018,
29-Oct-15,0.018,
29-Oct-15,0.018,
29-Oct-15,-0.008,
29-Oct-15,-0.008,
29-Oct-15,-0.008,
29-Oct-15,0.011,
29-Oct-15,0.011,
29-Oct-15,0.011,
29-Oct-15,0.003,
29-Oct-15,0.003,
29-Oct-15,0.003,
29-Oct-15,0.116,
29-Oct-15,0.116,
29-Oct-15,0.116,
29-Oct-15,0.386,
29-Oct-15,0.386,
29-Oct-15,0.386,
29-Oct-15,0.391,
29-Oct-15,0.391,
29-Oct-15,0.391,
29-Oct-15,0.188,
29-Oct-15,0.188,
